id,name,category,description,availability,price
34,Unagui,Especialidades,Por dentro camarón aguacate y queso crema. Por fuera anguila salsa de anguila y ajonjolí,true,175.00
35,Origami,Especialidades,Por dentro camarón empanizado y tampico. Por fuera queso crema aguacate y cangrejo,true,135.00
36,Sake,Especialidades,Por dentro queso crema pepino aguacate y cangrejo. Por fuera salmón,true,140.00
37,Spice Roll,Especialidades,Por dentro cangrejo pepino queso crema y aguacate. Por fuera ensalada Spice,true,125.00
38,Avocado,Especialidades,Por dentro salmón cangrejo pepino y queso crema. Por fuera aguacate con tampico y massago,true,135.00
39,Arcoiris,Especialidades,Por dentro anguila y queso crema. Por fuera cangrejo aguacate pulpo massago camarón y salmón,true,150.00
40,Massago,Especialidades,Por dentro aguacate salmón y cangrejo. Por fuera queso crema con masago,true,145.00
41,Shirashi,Especialidades,Cama de arroz blanco con mariscos mixtos (camarón cangrejo salmón pulpo pescado massago y furikake),true,145.00
42,Sunomono,Especialidades,Pepino fideos y mariscos mixtos (camarón cangrejo salmón pulpo pescado massago y furikake),true,145.00
43,Miso Mar,Sopas,Mariscos mixtos champiñones cebollita y fideos,true,145.00
44,Miso Especial,Sopas,Pasta udon filete de res germen de soya zanahoria brócoli coliflor cebollín y salsa especial,true,140.00
45,Miso-Shiro,Sopas,Champiñones cebollita pasta miso fideos y wakame,true,80.00
46,Tori-Tamago,Sopas,Consomé con verduras rayadas pollo y huevo,true,80.00
47,Yakimeshi Natural,Yakimeshi,Arroz frito con verduras y cebollín,true,60.00
48,Yakimeshi Camarón,Yakimeshi,Arroz frito con verduras y cebollín,true,99.00
49,Yakimeshi Mixto,Yakimeshi,Arroz frito con verduras y cebollín,true,99.00
50,Yakimeshi Pollo,Yakimeshi,Arroz frito con verduras y cebollín,true,95.00
51,Yakimeshi Res,Yakimeshi,Arroz frito con verduras y cebollín,true,99.00
52,Yakimeshi Especial Natural,Yakimeshi,Arroz frito con verduras aguacate queso crema y tampico,true,80.00
53,Yakimeshi Especial Camarón,Yakimeshi,Arroz frito con verduras aguacate queso crema y tampico,true,110.00
54,Yakimeshi Especial Mixto,Yakimeshi,Arroz frito con verduras aguacate queso crema y tampico,true,110.00
55,Yakimeshi Especial Pollo,Yakimeshi,Arroz frito con verduras aguacate queso crema y tampico,true,105.00
56,Yakimeshi Especial Res,Yakimeshi,Arroz frito con verduras aguacate queso crema y tampico,true,110.00
57,Sakana,De la Cocina,Filete de pescado empanizado acompañado de arroz frito con ensalada de verduras,true,130.00
58,Tepanyaki Especial,De la Cocina,Cama de yakimeshi natural verduras a la plancha carnes mixtas bañadas en salsa teriyaki,true,145.00
59,Costillitas BBQ,De la Cocina,Costillas de cerdo bañadas con salsa BBQ arroz blanco y verdura,true,145.00
60,Teriyaki,De la Cocina,Verduras rayadas a la plancha arroz blanco y pollo en salsa teriyaki,true,135.00
61,Teriyaki Ebi,De la Cocina,Verduras rayadas a la plancha arroz blanco y camarón en salsa teriyaki,true,145.00
62,Yakiudon,De la Cocina,Udon verduras rayadas pollo res y camarón a la plancha,true,145.00
63,Refresco,Bebidas,,true,35.00
64,Limonada,Bebidas,,true,40.00
65,Naranjada,Bebidas,,true,40.00
66,Agua Natural,Bebidas,,true,12.00
67,Té Helado,Bebidas,Rellenable solo en vaso individual,true,35.00
68,Calpico,Bebidas,Rellenable solo en vaso individual,true,40.00
69,Helado,Postres,Bola de helado de vainilla con jarabe de fresa o chocolate,true,40.00
70,Plátano Frito,Postres,Plátano capeado relleno de queso crema con lechera,true,45.00
71,Tempura Helado,Postres,Helado de vainilla frito con jarabe de fresa o chocolate,true,50.00
